sampleCode,sampleItemName,constructionNo,color,customerName,customerRequiredWidth,customerRequiredWidth%,customerRequiredLength%,customerRequiredWeight,loomNo,warppingNo,yard,beforeHeatSettingWidth,afterHeatSettingWidth,afterDryerWidth,weavingPPI,afterDryerSkew,sampleIssueDate,finishingDate,afterShrinkageSkew,afterShrinkagePPI,afterShrinkagePPI+,afterWashSkew,afterShrinkageWidth,boxPercentRightHand,boxPercentLeftHand,afterWashWidthPercent,afterWashLengthPercent,afterWashWidth,afterWashPPI,burnnerQnt,m/cSpeed,machineWidthSetting,tempSetting,sampleProcessingDetails
X25037-1,,"4464x45
8ring(Nishat) X 12 - 40D N.S(Nishat), 3/1 RHT",Dark Indigo#6C,Test Purpose,,,,,516,2502133,60Y,,,"C:58.5''
F:59.5''",45,19.0cm,,3/4/2025,13.0cm,53,+8,12.0cm,"C:58.6''
F:59.6''",-1.80%,0.45%,-15.30%,0.00%,49.5'',51,8 Burnner,28m/m,After Singeing Width + 1'',170°C,Singeing + Heat Setting + Dryer(5Box 60°C) + Sanforized
X25027,RNS100-21R6C,"4176x40
8ring X 12- 40D N.S(Nishat), 3/1RHT",Indigo#5,C&A,,,,,516,2502110,62Y,"C:64''
F:64.3''","C:63''
F:64.3''","C:58.8''
F:60''",40,15.0cm,,2/16/2025,12.5cm,47,+7,12.0cm,"C:58.4''
F:59.5''",-1.54%,0.92%,-16.09%,-1.00%,49.0'',48,8 Burnner,28m/m,After Singing width + 1'',175°C,Singeing + Heat Setting + Dryer(5Box 60°C) + Sanforized
X25011-2,,"7200x82
20ring(Nishat)x20ring((Nishat)+20-40D(N.S, Nishat) 1:2,T/Raw SBC RHT",RFD#11,Just James,,,,,323,2501081,80Y,"C:64.8''
F:65.2''","C:63''
F:64.3''","C:56''
F:57''",82,15.0cm,,2/1/2025,2.5cm,93,+11,6.5cm,"C:54''
F:55''",-1.80%,10.40%,-17.50%,0.00%,44.5'',93,8 Burnner,30m/m,After Singeing width + 1'',160°C,"RFD, Singeing +  Heat Setting + RFD+ Dryer+ Sanforized(old M/C, twill up)"
X25011-1,,"7200x82
20ring(Nishat)x20ring((Nishat)+20-40D(N.S, Nishat) 1:2, T/Raw,SBC RHT",RFD#11,Just James,,,,,323,2501081,80Y,,,,,,,,,,+0,,,,,,,,,,,,,
X25009,,"4176X52
8ring(Nishat)X10-40D(Lycra, Sunray), 3/1RHT",black 9L + PD(#12A),Jennyfer,61''--62'',#(11--15)%,,11.50oz,201,2501052,210Y,,,"C:60.8''
F:61.8''",52,16.5cm,,1/20/2025,13.0cm,57,+5,11.5cm,"C:61''
F:62''",-1.05%,-0.60%,-9.67%,-3.00%,55.1'',57,8 Burnner,30m/m,After Singeing width + 1'',165°C,  Singeing + Heat Setting + Dryer(5box wash 85°C + Black Padding 140GPL + Sanforized 
X25004,,"4464X40
8ring(Nishat)X12-40D N.S(Nishat), 3/1RHT",Black(9S)+PD(#12B),C&A,60''--61'',#(13--17)%,,10.00oz,108,2502097,200Y,,,"C:61.4''
F:62.2''",40,17.5cm,,2/11/2025,12.0cm,46,+6,13.0cm,"C:61.5''
F:62.5''",0.40%,1.30%,-13.80%,-1.40%,53.0'',47,8 Burnner,28m/m,After Singeing width + 1'',170°C,"Singeing + Heat Setting +Dryer(5box wash 85°C wash, speed-30m/m)+ Dryer(Black Padding 140GPL) +Sanforized"
X25004,,,,,,,,,318,2501020,102Y,,,"C:61''
F:62''",40,16.0cm,,1/12/2025,13.0cm,44,+4,11.0cm,"C:61''
F:62''",0.10%,0.00%,-15.08%,-5.50%,51.8'',46,8 Burnner,,,,"Singeing + Heat Setting + Dryer(5box 85°C, black padding 140GPL) + Sanforized"
X25004,,,,,,,,,318,2501020,102Y,"C:67.8''
F:68.8''","C:67.4''
F:68.4''","C:61''
F:62''",40,16.0cm,,1/11/2025,13.0cm,44,+4,11.0cm,"C:61''
F:62''",0.10%,0.00%,-15.08%,-5.50%,51.8'',46,8 Burnner,28m/m,After Singeing width + 1'',170°C,Singeing + Heat Setting + Dryer(5box wash 85°C) +Black Padding +Sanforized
X25003,,,,,,,,,318,2501020,100Y,,,"C:61''
F:62''",43,12.0cm,,1/11/2025,11.0cm,47,+4,12.0cm,"C:60.8''
F:61.8''",2.90%,-1.20%,-15.20%,-3.70%,51.5'',50,8 Burnner,,,,"Singeing + Heat Setting + Dryer(5box 85°C, black padding 140GPL) + Sanforized"
X25003,,,,,,,,,318,2501020,100Y,"C:67.8''
F:68.2''","C:66.5''
F:67.4''","C:61''
F:62''",43,12.0cm,,1/11/2025,11.0cm,47,+4,12.0cm,"C:60.8''
F:61.8''",2.90%,-1.20%,-15.20%,-3.70%,51.5'',50,8 Burnner,30m/m,After Singeing width + 1'',165°C,Singeing + Heat Setting + Dryer(5box wash 85°C) +Black Padding +Sanforized
