sampleCode,sampleItemName,constructionNo,color,customerName,customerRequiredWidth,customerRequiredWidth%,customerRequiredLength%,customerRequiredWeight,loomNo,warppingNo,yard,beforeHeatSettingWidth,afterHeatSettingWidth,afterDryerWidth,weavingPPI,afterDryerSkew,sampleIssueDate,finishingDate,afterShrinkageSkew,afterShrinkagePPI,afterShrinkagePPI+,afterWashSkew,afterShrinkageWidth,boxPercentRightHand,boxPercentLeftHand,afterWashWidthPercent,afterWashLengthPercent,afterWashWidth,afterWashPPI,burnnerQnt,m/cSpeed,machineWidthSetting,tempSetting,sampleProcessingDetails
X25372,X25200,"3564X40
9rn+9siro slub(7052)(6:4)X12(75D-dty)-40D(Xuzhou), 3/1R.H.T",Blue Black#8D,Zara/Style:Goya(Team B),52'',-(10~14)%,+/-(3~4)%,9.00oz,414,,90Y,"C:66.2''
F:67''","C:65''
F:66''","C:57.5''
F:58.5''",40,12.0cm,11/20/2025,12/4/2025,10.5cm,45,+5,12.0cm,"C:57''
F:58''",3.30%,-0.78%,-20.10%,-0.80%,45.5'',46,8 Burnner,30m/m,A/S width  +  2'',150°C,Singeing+Heat Setting+Dryer(5box 60°C)+Sanforized
X25381,X25200,"3888X42
7oe(Badsha)X8-40D(Nishat,BCI), Herringbone",Indigo#5,MBI(Team B),62~63'',-(10~14)%,+/-(3~4)%,12.25oz,222,25111052,160Y,"C:67''
F:68.5''","C:66.2''
F:67.5''","C:61''
W:62.7''",42,18.5cm,,12/4/2025,13.5cm,47,+5,10.5cm,"C:62''
F:63.4''",-0.77%,-3.20%,-12.40%,-3.80%,54.9'',47,8 Burnner,32m/m,A/S width  +  1'',170°C,Singeing+Heat Setting+Dryer(5box 60°C)+Sanforized
X25391,,"4176X42
8oe(Badsha)X8-40D(Nishat), Herringbone",Indigo#5,MBI International,,,,11.00oz,222,25111065,100Y,"C:67.5''
F:68.5''","C:66.8''
F:67.8''","C:62.8''
F:63.8''",42,17.0cm,,12/7/2025,10.0cm,49,+7,11.5cm,"62.4''
F:63.5''",-0.60%,2.10%,-12.80%,-1.70%,54.4'',50,8 Burnner,30m/m,A/S width  +  1'',170°C,Singeing+Heat Setting+Dryer(5box 60°C)+Sanforized
X25310,,,,,,,,,319,25111071,160Y,,,"C:63''
F:64''",60,6.0cm,,12/4/2025,5.0cm,66,+6,5.5cm,"C:63.7''
F:64.5''",-1.28%,0.00%,-1.40%,-0.80%,62.8'',66,9 Burnner,,,,Singeing+Heat Setting+Dryer(5box 60°C)+Sanforized
X25397,PRPS105-09R5,"4686x50
9RN(Milan)X16-70D T/Raw Recycle, Xuzhou), 3/1 R.H.T ",Indigo#5,Top Ten/ Test smaple,57~58'',-(11~15)%,-(3~6)%,10.25oz,223,25121092,75Y,"C:65''
F:66''","C:64''
F:65''","C:60.3''
F:61.3''",50,11.5cm,,12/10/2025,8.5cm,57,+7,9.0cm,"C:57.5''
F:58.2''",-0.15%,-0.45%,-11.60%,-1.50%,50.8'',58,8Burnner,28m/m,A/S width + 1'',165°C,Singeing+Heat Setting+Jigger Desized+Dryer(1Box cold water) + Sanforized
X24175,,"3564X42
7ring(Badsha) X 8-40D(BCI, Nishat) , 3/1 R.H.T",Indigo#5 + PD(#5D),Mardy Jeans,58~59'',-(9~13)%,-(3~6)%,11.00oz,205,2510909,120Y,"C:67''
F:67.8''","C:66.5''
F:67.5''","C:63.8''
F:55''",42,16.0cm,,12/22/2025,13.0cm,47,+5,12.0cm,"C:58.8''
F:60''",0.30%,-1.30%,-11.20%,-1.40%,52.2'',48,8Burnner,25m/m,M/C width + 2'',165°C,Singeing+Heat Setting+Dryer(5box wash 85°C)+Padding(140gpl)+Sanforized
X25431,RNPS085-25R5,"5984X60
16rsl(yt-199)(Nishat) X 20-40D(Poly/Cotton/Raw)(Changzhou),3/1 R.H.T",Indigo#5,Michel Koas,51~52'',-(10~14)%,+/-(3~4)%,8.50oz,119,25121140,60Y,"C:63.5''
F:64.4''","C:62.5''
F:63.2''","C:58.8''
F:59.6''",60,15.5cm,12/23/2025,12/29/2025,9.5cm,65,+5,9.0cm,"C:57.5''
F:58''",0.30%,-2.90%,-16.00%,-3.00%,48.3'',66,8Burnner,30m/m,A/S width + 1'',155°C,Singeing+Heat Setting+Dryer(5box wash 60°C)+Sanforized
X25423,PR100-06HB6,"4464X45
10oe(Physical,BCI,BTL)X10-40D(Physical BCI), Herrinbone",Dark Indigo#6,Bitopi/Dunnes ,58~59,,+/-(3~4)%,10~10.25 /oz,222,25121136,172Y,"C:67''
F:68''","C:66.3''
F:67.3''","C:61.3''
F:62.5''",45,0.0cm,12/22/2025,12/28/2025,0.0cm,52,+7,0.0cm,"C:61.3''
F:62.3''",-1.20%,-1.80%,-13.80%,-1.00%,52.8'',53,8Burnner,30m/m,A/S width + 1'',175°C,Singeing+Heat Setting+Dryer(5box wash 60°C)+Sanforized
X26017,PRS105-09R6C,"3906x43
7OE(B)x12-40D(Nishat,BCI), 3/1 R.H.T",Indigo#05,MKT,61~62'',+/-(3~4)%,-(12~16)%,10.50oz,,25111052,120Y,,,,,,,,,,+0,,,,,,,,,8Burnner,30m/m,A/S width + 1'',175°C,Singeing+Heat Setting+Dryer(5box wash 60°C)+Sanforized
X26007,,,,,,,,,301,25121151,40Y,,,"C:60.5''
F:61.5''",42,17.0cm,,1/7/2026,13.5cm,49,+7,12.0cm,"C:60.6''
F:61.6''",-2.40%,-0.30%,-15.10%,-1.00%,51.5'',50,8Burnner,,,,Singeing+Heat Setting+Dryer(5box wash 60°C)+Sanforized
X26008,,,,,,,,,301,25121151,50Y,,,"C:60.5''
F:61.5''",42,17.0cm,,1/7/2026,13.5cm,49,+7,12.0cm,"C:60''
F:61''",-2.28%,0.00%,-14.16%,1.00%,51.5'',50,,,,,Singeing+Heat Setting+Dryer(5box wash 60°C)+Sanforized
,,,,,,,,,,,,,,,,,,,,,+0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,+0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,+0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,+0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,+0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,+0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,+0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,+0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,+0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,+0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,+0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,+0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,+0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,+0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,+0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,+0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,+0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,+0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,+0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,+0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,+0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,+0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,+0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,+0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,+0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,+0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,+0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,+0,,,,,,,,,,,,,
