Regular sample data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Code,Sample Item Name/Code,Processing type,Construction,Color,Customer,Customer Required Width,Customer Requirement Length(%),Customer Requirement Width(%),Weight B/W,Sample Issue Date,Finishing Date,Loom No,Warpping No,Yard,"After Dryer
 Width(Inch)",Weaving PPI,Dryer Skey(CM),"After Shrinkage 
Skey(CM)","After Shrinkage
 PPI",PPI(+),"After Wash 
Skew(CM)","After Srinkage 
Width(Inch)","Box % 
(Right Hand)","Box % 
(Left Hand)","After Wash 
Width %","After Wash
 Length %","After Wash
 Width(Inch)","After Wash
 PPI",Sample Processing Details,Remarks
X1700628,RNS100-17R8C,Regular Finish,,,,,,,,,01/06/2025,321,2505473,50Y,"C:56''
F:57''",55,11.0cm,8.0cm,64,9,9.5cm,"C:54.5''
F:55.3''",1.90%,-1.00%,21.10%,-1.00%,43.0'',65,Singeing + Dryer(5box60°C)+Sanforized,
X1703120,RNPS090-17R8D,Regular,"5330X55
10rsl(YT-233)Nishat+12(Badsha)3:7 X 200-70D raw spandex(Recycle) Hanzhou, 3/1 RHT",Blue Black#8D,Warptex,,,,,,18/04/2025,222,2504308,130Y,"C:59.5''
F:60.2''",55,13.5cm,10.5cm,64,9,12.0cm,"C:56''
F:57''",1.85%,1.99%,13.90%,-1.00%,48.2'',65,Singeing + Dryer(5box60°C)+Sanforized,
X1710342,,Regular Finish,"4600x45
10oe(Badsha)+10oe(Badsha), Herringbone",Dark Indigo#6,Sainsbury,,,,,,27/05/2025,122,2505451,155Y,"C:59.8''
F:60.5''",45,0.0cm,1.0cm,52,7,0.0cm,"C:59.8''
F:60.5''",-0.57%,-1.14%,3.60%,0.00%,57.6'',52,Singeing + Dryer(5box60°C)+Sanforized,
X1711400,ST095-03R5,Regular Finish,"4356x38
9oe(Blue:8,White:4) X 10ring (Badsha), 2/1 RHT",Blue White#5,PRIMARK TEST,,,,,,20/06/2025,506,2505438,30Y,"C:59.7''
F:60.2''",38,5.0cm,4.5cm,43,5,8.5cm,"C:60''
F:60.5''",2.70%,3.00%,2.00%,1.30%,58.8'',44,Singeing+Dryer(5Box60°C)+Sanforized,
X1711400,ST095-03R5,Reguler Finish,"4356X38
9oe(Blue:8, White:4)Badsha X 10OE(Badsha), 2/1RHT Stripe",Blue White#5,Windy Group,,,,,,28/05/2020,209,2504345,209Y,"C:59.8''
F:60.7''",38,7.5cm,6.0cm,45,7,8.5cm,"C:60.2''
F:61''",1.42%,2.90%,-1.16%,0.00%,59.5'',45,Singeing + Dryer(5box60°C)+Sanforized,2
"X1712415
PR120-02R11",PR120-02R11,"Regular , RFD","4200x43
7oe(Badsha)x10oe(Badsha), 3/1RHT",RFD#11,Team Sourcing,,,,,,04/07/2025,609,2506548,123Y,"C:59.8''
F:60.7''",43,13.5cm,13.5cm,48,5,14.0cm,"C:62''
F:62.8''",1.40%,2.00%,-1.60%,-2.50%,61.0'',49,Singeing + Dryer(old) + Sanforized,
X180259-1,,Regular,"4464x45
7rsl(nishat)+7oe(Badsha) x 10-70D N.S(BCI, Nishat), 3/1RHT",Indigo #5,Natural ,,,,,,07/07/2025,309,2507574,140Y,"C:62.4''
F:63.2''",45,16.0cm,12.5cm,55,10,11.5cm,"C:61''
F:61.7''",0.00%,1.00%,-16.70%,-0.50%,50.8'',53,Singeing + Dryer(5Box 60°C) + Sanforized,
X1803106,PR125-06R5,Reguler Finish,"4200x37
7OE(Badsha) x 7OE(Badsha) , 3/1RHT",Indigo#5,Warptex,,,,,,05/05/2025,606,2504365,150Y,"C:62''
F:63""",37,15.5cm,12.5cm,44,7,13.0cm,"C:62''
F:63''",1.28%,1.43%,2.58%,-1.00%,60.4'',45,Singeing + Dryer(5box60°C)+Sanforized,
X1803106,PR125-06R5,Regular Finish,"4200x37
7OE x 7OE(Badsha) , 3/1RHT",Indigo#5,Warptex,,,,,,11/04/2025,612,2503189,80Y,"C:62.5''
F:63''",37,13.0cm,12.0cm,44,7,13.0cm,"C:62.8''
F:63.5''",0.70%,1.20%,-2.20%,-1.00%,61.4'',45,Singeing + Dryer(5box50°C)+Sanforized,
X19032-2,,RFD(Twill Up),"4950x50
16oe(Milan)x16OE(Milan), 2/1 RHT",RFD#11,Warptex,,,,,,07/07/2025,222,2507560,102Y,"C:58''
F:59''",50,7.0cm,5.0cm,55,5,6.0cm,"C:59''
F:59.8''",0.40%,0.40%,0.80%,-2.00%,59.5'',57,Singeing + Dryer(old) + Sanforized,
X19224,,Regular Finish,,,,,,,,,27/05/2025,321,,45Y,"C:58''
F:58.5''",50,12.5cm,10.0cm,57,7,10.0cm,"C:58''
F:58.5''",0.14%,1.82%,1.80%,-1.00%,59.1'',58,Singeing + Dryer(5box60°C)+Sanforized,
X19224,RN055-07R5(New),Regular Finish,,,,,,,,,26/05/2025,321,2505448,77Y,"C:57.2''
F:58''",50,12.0cm,,58,8,10.5cm,"C:57''
F:58.5''",1.66%,0.00%,-2.24%,0.00%,59.1'',58,Singeing + Dryer(5box60°C)+Sanforized,
X19224,RN055-07R5(New),Rregular Finish(Face Down),"5360x50
20RN(Nishat)X20rn(Compact, Nishat), 3/1RHT",Indigo#5,Mardy Jeans,,,,,,03/02/2025,217,2404394,300Y,"C:58.2''
F:58.8''",50,12.0cm,9.0cm,57,7,9.0cm,"C:59.2''
F:59.5''",-0.20%,0.00%,0.50%,-0.50%,60.0'',57,Singeing + Dryer(5box 60°C) + Sanforized,
X20001-1,,Regular Finish,"4060x39
10siro(Nishat)X7OE(Badsha), 3/1 RHT",Indigo#5,Windy Group,,,,,,09/03/2025,505,2503206,265Y,"C:61''
F:61.8''",39,14.5cm,12.0cm,46,7,11.5cm,"C:61.2''
F:62.2''",1.40%,-0.98%,0.00%,0.00%,61.2'',46,singeing + Dryer(5Box 60°C) + Sanforized,
X20032-3(PRS100-05R5),,Regular Finish,"4176x50
8OE x 16-40D(NS)
 Badsha , BCI                 Nishat",Indigo #5,Madry Jeans,,,,,,27/07/2025,509,2507640,308Y,"C:59.2''
F:60.2''",50,15.0cm,12.0cm,58,8,11.0cm,"C:58''
F:59''",1.09%,-1.24%,-18.00%,-1.30%,47.5'',58,Singeing + Dryer(5box 60°C ) + Sanforized,
X20053-3,,1Box(Cool Washing),"3564x35
6oe(Badsha)x6oe(Badsha), 3/1RHT",Natural#1,Madry Jeans,,,,,,30/06/2025,617,2506565,80Y,"C: 63.8""
F: 64.5""",45,17.5cm,14.5cm,41,-4,14.5cm,"C: 64.5""
F: 65.4""",-1.70%,0.70%,2.90%,1.00%,62.6'',42,1Box Cool Water(Regular Finish),
X20088-1,RN110-25R5(New),Regular Finish,"4488X42
8ring(Nishat)X9oe(Badsha)+",,,,,,,,09/01/2025,218,24121131,205Y,"C:61.1''
F:62.1''",42,15.0cm,12.0cm,49,7,13.5cm,"C:61.4''
F:62.2''",-0.40%,2.40%,0.90%,0.00%,60.8'',49,Singeing + Dryer(5box 60°C) + Sanforized,
X20184-2,,RFD,"4120x39
8RN(Nishat, BCI)X6OE(Badsha), 3/1RHT",RFD#11,MKT,,,,,,01/06/2025,509,2505469,102Y,"C:63.5''
F:64.5''",39,15.0cm,15.0cm,43,4,11.5cm,"C:64.1''
F:65.1''",-1.59%,-4.80%,0.46%,-4.80%,63.8'',45,"Singeing ?Jigger? Dryer(Old , 1box cold water)?Sanforized(Old)",
X20190,,Desized Finish,"4800x55
10rls(TY--260)Badsha+10oe(Badsha)3:7 X 16-40D N.S(Nishat), 3/1RHT",Black#9S,MKT,,,,,,30/12/2024,108,24121152,102Y,"C:54.4''
F:55.2''",55,11.0cm,12.5cm,62,7,11.5cm,"C:55.5''
F:56.2'",0.70%,-1.80%,-15.40%,2.00%,46.9'',64,Singeing + Desized + Dryer + Sanforized,
X20190,,Desized Finish(Rest Qunt.),"4800x55
10rls(TY--260)Badsha+10oe(Badsha)3:7 X 16-40D N.S(Nishat), 3/1RHT",Black#9S,MKT,,,,,,07/01/2025,108,24121152,94Y,"C:56.5''
F:57.4''",55,10.0cm,10.0cm,63,8,11.0cm,"C:55.3''
F:56.3''",1.90%,0.60%,-15.50%,-1.00%,46.7'',64,Singeing + Desized + Dryer + Sanforized(Old),
X20210,PR105-07L5,Regular,"4464x36
9oe X 7oe(Badsha),3/1 LHT",Indigo#5,Warptex,,,,,,29/12/2024,305,24121150,105Y,"C:63''
F:63.8''",36,15.0cm,16.0cm,42,6,15.0cm,"C:63''
F:63.5''",-1.15%,0.00%,1.59%,1.70%,62.0'',43,Singeing + Dryer(5box 60°C) + Sanforized,
X20257,RN095-10R11,RFD,"4176X40
8RN(Badsha)X10OE(Badsha), 3/1RHT",RFD#11,MKT,,,,,,27/06/2025,320,24111065,100Y,"C:59.''
F:58''",40,11.0cm,12.5cm,45,5,12.5cm,"C:60.5''
F:61.2''",-0.57%,0.57%,0.00%,-4.00%,60.5'',47,Singeing + Dryer(5box60°C)+Sanforized(Old),
X21003-2,RE115-11R5,Regular Finish,"4896x50
9OE(Badsha)+10OE(Badsha)1:1 X 9OE(Badsha), 3/1RHT",Indigo#5,MKT,,,,,,21/04/2025,188,2504320,190Y,"C:62''
F:63.8''",50,16.5cm,10.5cm,58,8,12.5cm,"C:62''
F:62.75''",1.42%,1.42%,-2.09%,0.00%,60.7'',58,Singeing + Dryer(5box60°C)+Sanforized,
X21045,PRS100-06R5,Regular Finish,"4176X44
7oe X 16-40D N.S(Nishat), 3/1RHT",Indigo#5,Natural Indigo,,,,,,14/03/2025,613,2502125,112Y,"C:60''
F:61''",44,15.5cm,13.0cm,52,8,13.5cm,"C:59.5''
F:60.5''",-0.40%,0.10%,-18.90%,0.00%,48.2'',52,Singeing + Dryer(5box60°C)+Sanforized,
"X21045
PRS110-06R5",PRS110-06R5,Regular,"4176x44
7OE (Badsha)x 16-40D(Nishat), 3/1 RHT",Indigo #5,Warptex,,,,,,18/07/2025,305,2507594,145Y,"C:61''
F:62''",44,13.0cm,,53,9,13.0cm,"C:59.5''
F:60.5''",0.15%,1.69%,-19.10%,2.10%,48.1'',52,singeing + Dryer(5Box 60°C) + Sanforized,
X21045,PRS110-06R5,Regular Finish,"4176X44
7OEX16-40D(Nishat), 3/1RHT",Indigo#5,,,,,,,15/01/2025,217,2501033,256Y,"C:60''
F:61''",44,17.0cm,14.5cm,52,8,14.0cm,"C:59.2''
F:60.3''",-2.29%,0.00%,-17.90%,0.00%,48.6'',52,Singeing + Dryer(5box 60°C) + Sanforized,
X21059,,"Regular Finish(1box85°C)
Mr.Lee",,,,,,,,,22/05/2025,609,2505433,60Y,"C:64.4''
F:65''",39,16.0cm,12.0cm,44,5,11.5cm,"C:64.5''
F:65.4''",0.72%,-1.00%,-2.17%,-2.80%,63.1'',45,Singeing + Dryer(1box85°C)+Sanforized,
X21083(RN085-06R6),RN08506R6,Regular Finish,"4692x44
12RN(nishat)x12OE(badsha) , 3/1RHT",Dark Indigo#6,Shahi/C&A,,,,,,29/06/2025,318,2506544,150Y,"C:59""
F:60""",44,15cm,12cm,51,7,12.5cm,"C: 59.8""
F: 60.5""",-1.13%,1.84%,0.30%,1.00%,60.0'',52,5Box 60°c (Regular finish),
X21083-1,RN085-06R6,Regular Finish,"4692x44
12RN(Badsha) x 12OE(badsha) , 3/1RHT",Dark Indigo#6,Warptex,,,,,,11/04/2025,219,2503189,180Y,"C:59.6''
F:60.2''",44,14.0cm,11.0cm,53,9,13.5cm,"C:60''
F:60.8''",0.70%,3.70%,-0.30%,1.80%,59.8'',52,Singeing + Dryer(5box50°C)+Sanforized,
X21083-1,RN085-06R6,Regular Finish,"4692x44
12RN(nishat)x12OE(badsha) , 3/1RHT",Dark Indigo#6,Shahi Textile,,,,,,08/03/2025,121,2503189,150Y,"C:59.8''
F:60.2''",44,16.5cm,12.5cm,51,7,14.0cm,"C:60''
F:60.8''",0.00%,1.42%,0.00%,-1.80%,60.0'',52,singeing + Dryer(5Box 60°C) + Sanforized,
X21083-1,RN085-06R6,Regular,,,,,,,,,03/08/2025,102,2506544,224Y,"C:59.4''
F:60''",44,15.5cm,13.0cm,52,8,,"C:60.4''
F:61''",1.00%,-2.50%,1.00%,0.00%,59.6'',51,Singeing?Dryer(5box 60°C)?Sanforized ,
X21123-1,,Regular,"4205X39
8RN(Badsha) X 8OE(Badsha), 3/1RHT",Indigo#5,Natural Denim,,,,,,23/04/2025,414,2503197,90Y,"C:64''
F:65''",39,15.0cm,Not Found,45,6,14.0cm,"C:64.4''
F:65''",0.36%,0.00%,0.62%,-1.00%,64.0'',46,Singeing + Dryer(5box60°C)+Sanforized,
X21123-2,RN115-33R5,,"4205X39
8ring(Nishat) X 7OE(Badsha), 3/1RHT",Indigo#5,Windy Group,,,,,,10/03/2025,505,2503197,80Y,"C:69.6''
F:70.5''
(B.dryer Width)",39,11.5cm,,,-39,12.5cm,,1.56%,3.12%,-1.84%,-18.00%,63.8'',47,"1Box Cool Water(Regular Finish) 
No Sanforize",
X21152-2,RN070-03R6,Regular Finish,"5440x55
16RN(Nishat)16OE(XDD), 3/1 RHT",Indigo#5,Norp Knit Industries LTD.,,,,,,09/03/2025,217,2501058,100Y,"C:58.8''
F:59.5''",55,15.0cm,12.0cm,63,8,13.0cm,"C:59.7''
F:60.5''",1.40%,-0.85%,-0.50%,0.00%,60.0'',63,singeing + Dryer(5Box 60°C) + Sanforized,
X21163,RNPS100-27R5,Rregular Finish,"4588x60
12rsl(YT-233)Nishat X 20-70D(Ploy/Raw, T/Raw)Xuzhou, 3/1RHT",Indigo#5,Nitex Group,,,,,,03/02/2025,121,2404382,Rst. Qunt,"C:52.5''
F:54''",60,13.0cm,9.0cm,69,9,7.0cm,"C:49.2''
F:50.7''",-1.24%,-2.60%,-15.65%,-1.60%,41.5'',70,Singeing + Dryer(5box 60°C) + Sanforized,
X21163,RNPS100-27R5,Regular Finish,"4588x60
12rsl(YT-233)Nishat X 20-70D(Ploy/Raw, T/Raw)Xuzhou, 3/1RHT",Indigo#5,Nitex Group,,,,,,31/01/2025,121,2404382,40Y,"C:52.8''
F:54.2''",60,17.5cm,10.0cm,69,9,7.0cm,"C:49.6''
F:51''",-2.70%,-2.60%,-16.10%,-1.00%,41.6'',70,Singeing + Dryer(5box 60°C) + Sanforized,
X21186-1,PR120-05R5,Regular Finish,"4176X39
8OE(Badsha) X 6OE(Badsha), 3/1RHT",Indigo#5,Warptex,,,,,,11/04/2025,413,2409808,200Y,"C:61.5''
F:62.2''",39,15.0cm,13.0cm,46,7,12.5cm,"C:64.9''
F:65.7''",-0.70%,-2.14%,-1.70%,0.00%,63.6'',46,Singeing + Dryer(5box50°C)+Sanforized,
X21211,RN095-11R6,Regular,"4216x40
9ringX10OE(BCI, Badsha), 3/1RHT",Dark Indigo#6,Zamira,60'' -- 61'',,# +/- (3--4)%,9.50 oz,,04/08/2025,606,2505415,136Y,"C:60''
F:61''",40,16.0cm,11.0cm,47,7,15.5cm,"C:60.8''
F:61.4''",4.80%,0.14%,1.30%,0.00%,60.0'',47,Singeing?Dryer(5box 60°C)?Sanforized ,
X21212,SR095-01R6,Regular,"4488x42
10Siro(Nishat)x10OE(Badsha), 3/1RHT",Dark Indigo#6,H&F,,,,,,03/08/2025,207,2507601,54Y,"C:60''
F:60.7''",42,16.0cm,11.0cm,49,7,13.5cm,"C:60.5''
F:61.2''",3.20%,-0.70%,-0.80%,0.70%,60.0'',49,Singeing?Dryer(5box 60°C)?Sanforized ,
X21220(PR065-01R5)new,,"Regular Finish, Face down","4800x45
16oe x 16oe
2/1 RHT",Indigo #5,Madry Jeans/Moraj,,,,,,28/07/2025,605,2507582,150Y,"C:57.8''
F:58''",45,9.5cm,8.0cm,52,7,7.5cm,"C:58''
F:58.8''",-2.50%,-1.39%,-1.70%,0.00%,59.0'',52,Singeing + Dryer(5box 60°C ) + Sanforized,
X22008-2,PR120-05R1,Regular Finish,"4200x39
8oe(Badsha)x6oe(Badsha) 3/1RHT",Natural ,MKT,,,,,,13/05/2025,303,2505378,220Y,"C:66''
F:67''",39,16.5cm,12.5cm,46,7,11.5cm,"C:66.1''
F:67''",-0.58%,0.44%,3.40%,-2.90%,63.8'',46,Singeing + Dryer+Sanforized(Old),
X22080-2,,Regular Finish,"4216x45
9OE(Badsha)+10OE(Badsha)1:1 X 9OE(Badsha)+9ring(Badsha)1:1, 3/1RHT",Indigo#,C&A,,,,,,07/01/2025,104,2501012,103Y,"C:60''
F:61''",45,13.0cm,11.0cm,54,9,12.5cm,"C:60''
F:61.2''",0.20%,1.40%,-1.66%,0.00%,59.0'',54,Singeing + Dryer(5box 60°C) + Sanforized,
X22081-2,,Regular Finish,"4216x40
7oe(Badsha)+9oe(Badsha) 3:7 X 8OE(Badsha), 3/1RT",Indigo#5,Clover Collectioin,,,,,,28/01/2025,608,2501078,100Y,"C:60.8''
F:61.8''",40,15.5cm,11.5cm,48,8,12.0cm,"C:61.3''
F:62.2''",X,X,-2.10%,-1.00%,60.0'',49,Singeing + Dryer(5box 60°C) + Sanforized,
