Regular sample data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Code,Sample Item Name/Code,Processing type,Construction,Color,Customer,Customer Required Width,Customer Requirement Length(%),Customer Requirement Width(%),Weight B/W,Sample Issue Date,Finishing Date,Loom No,Warpping No,Yard,"After Dryer
 Width(Inch)",Weaving PPI,Dryer Skey(CM),"After Shrinkage 
Skey(CM)","After Shrinkage
 PPI",PPI(+),"After Wash 
Skew(CM)","After Srinkage 
Width(Inch)","Box % 
(Right Hand)","Box % 
(Left Hand)","After Wash 
Width %","After Wash
 Length %","After Wash
 Width(Inch)","After Wash
 PPI",Sample Processing Details,Remarks
X25254,,Regular Finish,"7oe X 10-70D N.S (Nishat), 3/1 Broken Twill",Indigo#5,Cherng EN Enger Prise/ Taiwan,55'' - 56'',,# -(14 -- 18 ) %,12.50 oz,,30/08/2025,223,2508757,38Y,"C:59.8''
F:60.8''",42,1.0cm,0.0cm,48,6,2.0cm,"C:57.8''
F:58.8''",-0.62%,4.40%,-17.64%,-2.40%,47.6'',50,Singeing ?Dryer(5box 60°C)?Sanforized,
X25164,,Regular Finish,"3906x39
8OE Low TM(Salek) X 9oe(BCI, Badsha), 3/1RHT",Black #9S,Noise Seas,63''--64'',,# +/- (3--4) %,10 oz,,30/08/2025,107,2508743,122Y,"C:63.4''
F:64''",39,17.0cm,14.5cm,46,7,14.0cm,"C:63.8''
F:64.5''",0.70%,-1.41%,-1.25%,0.00%,63.0'',46,Singeing ?Dryer(5box 60°C)?Sanforized,
X25253-1,,Regular Finish,"4644x43
7.5 ring Low TM 3.8(Nishat) X 7oe(Badsha, Physical BCI), 3/1RHT",Grey #03,STR,64''--65'',,#  (3--4)%,12.75 oz,,01/09/2025,210,2508781,88Y,"C:65.5''
F:66.3''",43,21.0cm,14.5cm,51,8,14.0cm,"C:66''
F:66.8''",0.00%,-1.80%,-1.90%,4.80%,64.7'',50,Singeing ?Dryer(5box 60°C)?Sanforized,
X25253-2,,Regular Finish,"4644x40
7.5 ring Low TM 3.9(Nishat) X 9oe(Physical BCI), 3/1RHT",Grey #03,STR,64''--65'',,#  (3--4)%,11.50 oz,,01/09/2025,210,2508781,68Y,"C:65''
F:65.5''",40,21.0cm,15.0cm,49,9,15.0cm,"C:65.5''
F:65.8''",-0.41%,-0.69%,-1.30%,2.50%,64.6'',47,Singeing ?Dryer(5box 60°C)?Sanforized,
X25222,PRS105-09R6,Regular Finish,,,,,, ,,,10/08/2025,410,2507669,60Y,"C:60''
F:61''",43,15.0cm,13.0cm,50,7,11.5cm,"C:59.2''
F:60.2''",-2.70%,0.00%,-16.30%,-1.20%,49.5'',50,Singeing ?Dryer(5box 60°C)?Sanforized,
X22287-2,Rest Quantity,Regular Finish,,,,,,,,,11/08/2025,207,2507655,,"C:58''
F:59''",48,13.5cm,11.5cm,56,8,9.5cm,"C:56.5''
F:57.5''",-2.20%,-2.50%,-22.40%,0.00%,43.8'',57,Singeing ?Dryer(5box 60°C)?Sanforized,
X24109,,Regular Finish,"6840x60
20rn Compact(Nishat)X20rn Compact(Nishat), 3/1RHT",Dark indigo#7,Windy Group/ LIDL,64''--65'',,# +/-(3--4)%,6.7 oz,,13/08/2025,120,2508694,142Y,"C:65''
F:65.5''",60,15.5cm,11.5cm,69,9,12.0cm,"C:65.5''
F:66''",0.14%,1.70%,-1.06%,-0.70%,64.8'',69,Singeing ?Dryer(5box 60°C)?Sanforized,
X24002-2,,Regular Finish,"4644x40
7.5ring Low TM 3.8(Nishat)X9oe(BCI, Badsha), 3/1RHT",Indigo#5,MKT,65''--66'',,# +/-(3-4)%,11.50 oz,,13/08/2025,415,2508706,78Y,"C:65.2''
F:66''",40,21.0cm,15.0cm,48,8,14.5cm,"C:65.8''
F:66.5''",-1.26%,0.00%,-1.20%,0.00%,65.0'',48,Singeing ?Dryer(5box 60°C)?Sanforized,
X24002-3,,Regular Finish,"4644x40
7.5ring Low TM 3.8(Nishat)X8oe(BCI, Badsha), 3/1RHT",indigo#5,MKT,65''--66'',,# +\-(3--4)%,12.00 oz,,13/08/2025,415,2508706,70Y,"C:65.6''
F:66.5''",40,18.0cm,13.0cm,49,9,12.0cm,"C:66''
F:66.5''",0.00%,0.13%,-1.50%,2.80%,65.0'',47,Singeing ?Dryer(5box 60°C)?Sanforized,
X25220,,Regular Finish,"3944x40
7ring(Sandwich)Nishat, BCI X 7oe(Badsha), 3/1RHT",Indigo+Black+Indigo,Pull&Bear,61''--62'',,# +/- (3--4)%,12.25 oz,,13/08/2025,211,2508709,30Y,"C:61''
F:62''",40,21.0cm,,46,6,14.0cm,"C:61.4''
F:62.4''",0.87%,-0.87%,-2.20%,-2.80%,60.0'',47,Singeing ?Dryer(5box 60°C)?Sanforized,
X25230,,Regular Finish,"4752X54
10rsl(TY-199)Nishat X12-40D T/Raw(Recycle, Xuzhou) + 12-70D T/Raw(Recycle, Xuzhou)(2:1), 3/1RHT",Blue Black #8D,G Grade ( Masud korim),57'',,,11.00 oz,,13/08/2025,207,2506498,60Y,"C:62''
F:63''",54,16.5cm,10.5cm,64,10,8.5cm,"C:62''
F:63''",-4.00%,-0.75%,-12.50%,1.80%,52.3'',63,Singeing ?Dryer(5box 60°C)?Sanforized,
X25228,,Regular Finish,,,,,,,,,14/08/2025,219,2501041,50Y,"C:55''
F:56''",55,14.0cm,9.5cm,65,10,10.0cm,"C:53.9''
F:54.8''",1.09%,2.60%,-19.60%,0.00%,43.3'',65,Singeing ?Dryer(5box 60°C)?Sanforized,
X22117-1,,Regular Finish,"3564x41
8ringX8-40D N.S(Nishat), 3/1RHT",Indigo#5,Natural Indigo,55''--56'',,# -(16-20)%,11.20 oz,,15/08/2025,211,2505389,100Y,"C:57.7''
F:59''",41,14.0cm,10.0cm,48,7,10.0cm,"C:56.5''
F:57.8''",1.07%,-1.99%,-18.50%,1.70%,46.0'',47,Singeing ?Dryer(5box 60°C)?Sanforized,
X25223,,Regular Finish,"4752x42
12siro slub(7053) Nishat  + 12ring(BCI, Nishat)(4:6) X , 3/1RHT",Indigo#5,Echotex,64''--65'',,# (3--4)%,8.70 oz,,16/08/2025,207,2508719,60Y,"C:63.2''
F:64''",42,14.5cm,12.5cm,49,7,10.0cm,"C:63''
F:64''",-2.80%,-2.12%,-0.70%,0.00%,63.5'',49,Singeing ?Dryer(5box 60°C)?Sanforized,
SA1010110,RNS100-07R5,Regular Finish,"4600X55
10rsl(yt-199)Nishat X 16-40D N.S(Physical BCI, spandex),3/1 RHT",Indigo#5,Madry Jeans,53''--54'',,#-(13--17)%,9.50 oz,,10/08/2025,410,2508729,50Y,"C:54.8''
F:55.7''",55,13.5cm,10.0cm,62,7,9.0cm,"C:53.6''
F:54.4''",0.96%,-2.30%,-18.80%,-4.40%,43.5'',64,Singeing ?Dryer(5box 85°C)?Sanforized,
"SA1010110
Rest Qunt.",RNS100-07R5,Regular Finish,"4600X55
10rsl(yt-199)Nishat X 16-40D N.S(Physical BCI, spandex),3/1 RHT",Indigo#5,Madry Jeans,53''--54'',,#-(13--17)%,9.50 oz,,30/08/2025,410,2508729,Rest.Qunt.,"C:54.2''
F:55.2''",55,14.5cm,10.5cm,63,8,10.0cm,"C:53.1''
F:54.1''",-1.10%,-1.10%,-18.60%,-2.30%,43.2'',64,Singeing ?Dryer(5box 60°C)?Sanforized,
X21212,SR095-01R6,Regular Finish,"4488X42
10siro(BCI, Badsha) X 10OE(Badsha), 3/1RHT",Dark Indigo#6,MKT,60''--61'',,# +/-(3--4)%,9.50 oz,,20/08/2025,614,2508735,200Y,"C:60.7''
F:61.7''",42,16.0cm,12.5cm,48,6,13.5cm,"C:61.5''
F:62.5''",-0.57%,2.02%,-1.46%,-2.40%,60.6'',49,Singeing ?Dryer(5box 60°C)?Sanforized,
X25242,,"Regular Finish
Broken Twill","4176X42
7oe CIMA X 10-70D N.S(Physical BCI, Nishat), 3/1Broken Twill",Indigo#5,MKT,55''--56'',,# -(14-18)%,12.50 oz,,21/08/2025,220,25087704,60Y,"C:59''
F:60''",42,4.5cm,4.0cm,48,6,1.5cm,"C:58''
F:59''",-1.50%,-1.10%,-17.50%,-3.80%,47.8'',48,Singeing ?Dryer(5box 60°C)?Sanforized,
X20048-4,,Regular Finish,"3564X40
8RN(Nishat) x 8OE(BCI, Badsha), 3/1RHT",Indigo#5,MKT,60''--61'',,# +/-(3--4)%,10.00 oz,,21/08/2025,221,2505389,50Y,"C:61.2''
F:62.2''",40,14.0cm,14.0cm,47,7,15.5cm,"C:61.6''
F:62.5''",0.40%,2.10%,-0.90%,1.20%,61.0'',46,Singeing ?Dryer(5box 60°C)?Sanforized,
X20048-4,Rest Quantity,Regular Finish,"3564X40
8RN(Nishat) x 8OE(BCI, Badsha), 3/1RHT",Indigo#5,MKT,60''--61'',,# +/-(3--4)%,11.00 oz,,31/08/2025,221,2505389,,"C:60.5''
F:61.5''",40,16.5cm,15.5cm,44,4,15.5cm,"C:61.2''
F:62.2''",2.16%,-2.44%,-0.37%,-3.50%,61.0'',46,Singeing ?Dryer(5box 60°C)?Sanforized,
X23294-1,,Regular Finish,"4216x40
9rnX12rn(Physical BCI, Nishat), 4/2 LHT",Dark indigo#6,Windy Group/ Primark(test),59'',,# +/-(3--4)%,9.40 oz,,21/08/2025,206,2505415,103Y,"C:57.7''
F:58.7''",40,17.0cm,15.5cm,47,7,15.5cm,"C:58.5''
F:59.3''",2.42%,-4.50%,-0.30%,-1.00%,58.3'',48,Singeing ?Dryer(5box 60°C)?Sanforized,
08243-1,RN130-01R5(New),Regular Finish,"4216X39
7rn(Nihsat)X7rn(Nihsat)+7oe(Badsha) 1:1, 3/1RHT",Indigo#5,Al-Islam Textile,58''--59'',,# +/-(3--4)%,13.00 oz,,23/08/2025,516,2508739,120Y,"C:59.7''
F:60.7''",39,15.0cm,11.5cm,47,8,14.5cm,"C:59.5''
F:60.5''",2.12%,2.12%,-1.17%,1.80%,58.8'',46,Singeing ?Dryer(5box 60°C)?Sanforized,
X22324,,"Regular Finish
Twill Down","4743x43
12oe(Badsha)x12oe(Badsha), 2/1RHT",Indigo#5,Warptex,60''--61'',,# +/- (3--4)%,8.40 oz,,23/08/2025,206,2508745,104Y,"C:60.8''
F:61.8''",45,10.0cm,8.0cm,51,6,8.5cm,"C:61''
F:62''",0.70%,-2.38%,0.00%,1.80%,61.0'',50,Singeing ?Dryer(5box 60°C)?Sanforized,
X25238,,Regular Finish,"4488x42
10siro(Badsha) X 10rn Cotton/Linen(70+30), 3/1RHT",Natural #1,MKT,60''--61'',,# +/-(3--4)%,9.25 oz,,24/08/2025,223,2508734,100Y,"C:60.5''
F:61.5''",42,15.5cm,12.5cm,50,8,14.5cm,"C:60.5''
F:61.7''",2.10%,-1.40%,0.00%,-0.80%,60.5'',50,Singeing ?Dryer(1box Old Dryer)?Sanforized,
X24244-1,"RN065-04R9S
Face Up",Regular Finish,,,,,,,,,24/08/2025,206,2508744,135Y,"C:57''
F:58''",49,12.0cm,12.0cm,55,6,9.0cm,"C:58''
F:58.8''",-2.27%,-3.90%,-0.86%,-1.40%,58.5'',56,Singeing ?Dryer(5box 60°C)?Sanforized,
X24244-2,"RN065-04R9S
Face Up",Regular Finish,,,,,,,,,24/08/2025,206,2508745,##,"C:57.8''
F:58.7''",49,12.0cm,11.0cm,55,6,8.5cm,"C:58.2''
F:59''",3.50%,-2.80%,-1.20%,-1.80%,58.9'',55,Singeing ?Dryer(5box 60°C)?Sanforized,
X25243,,Regular Finish,"6120X58
14ring(Badsha)X14ring(Badsha), 3/1RHT",Grey#3,SF Denim/ C&A,63''--64'',,#(3--4),9 -- 9.20 oz,,24/08/2025,122,2508750,80Y,"C:64''
F:64.8''",58,19.0cm,15.0cm,66,8,16.5cm,"C:64''
F:64.8''",0.50%,0.90%,-0.30%,-0.60%,63.8'',67,Singeing ?Dryer(5box 60°C)?Sanforized,
X25235,,"Regular Finish
Tencel",,,,,,,,,17/08/2025,203,2508682,35Y,"C:63''
F:64''",39,16.0cm,10.0cm,47,8,11.5cm,"C:62''
F:63.7''",4.20%,1.85%,5.70%,2.20%,59.2'',46,Singeing ?Dryer(5box 60°C)?Sanforized,
X25225,,Regular Finish,"4176X42
7oe CMIA(Badsha)X10-105D N.S , 3/1Broken Twill",Indigo#5,MKT,55''--56'',,#-(14--18)%,12.50 oz,,17/08/2025,220,2508704,05Y,"C:55.5''
F:65.5''",42,0.0cm,,,-42,,,,,,,,,"Broken Twill
Didn’t get any shrinkage data",
X25233,,Regular Finish,,,,,,,,,17/08/2025,217,2508783,90Y,"C:61''
F:62.7''",48,15.5cm,13.5cm,56,8,11.5cm,"C:60''
F:61.7''",2.00%,-1.85%,15.80%,-2.50%,50.5'',56,Singeing ?Dryer(5box 60°C)?Sanforized,
X25226,T-sample,Regular Finish,"4488X41
7oe(Rewinding) X 7oe(Rewinding), 3/1RHT",Indigo,,,,,,,17/08/2025,207,2508716,105Y,"C:63''
F:64''",41,16.0cm,11.0cm,50,9,13.0cm,"C:63''
F:64''",2.50%,0.28%,-3.40%,2.20%,60.8'',49,"Singeing ?Dryer(1Box 50°C)?Sanforized
B-GRADE",
X25224,,Regular Finish,"4488X42
10siro X 10Tencel(Nishat), 3/1RHT",Natural ,Natural Denim,62''--63'',,# +/-(3--4)%,9.25 oz,,19/08/2025,207,2508725,162Y,"C:63''
F:64''",42,18.5cm,12.0cm,48,6,16.0cm,"C:62.2''
F:63.2''",2.50%,3.00%,1.20%,-2.50%,61.5'',49,"Singeing?Dryer(1box old m/c)?Sanforized
Natural",
X25240,,Regular Finish,,,,,,,,,19/08/2025,413,2508704,58Y,"C:60''
F:60.6''",43,16.0cm,14.0cm,50,7,16.0cm,"C:60.5''
F:61.5''",1.43%,0.57%,-1.98%,-0.60%,59.3'',50,Singeing ?Dryer(5box 60°C)?Sanforized,
X24120-1,,Regular Finish,"4025x34
7siro low TM 3.8(Envoy) X6 Tencel(Envoy), 3/1RHT",Indigo#5,MKT,64''--65'',,# +/-(3--4)%,12.00 oz,,19/08/2025,203,2508726,146Y,"C:66''
F:66.8''",34,20.0cm,17.5cm,40,6,18.0cm,"C:64.6''
F:65.5''",3.60%,-1.14%,-2.16%,-0.80%,63.2'',40,Singeing ?Dryer(5box 60°C)?Sanforized,
X25032,,Regular Finish,"4464x48
10rsl(yt-233)Nishat X 16-70D T/Raw(Changzhou, Polyester 100%), 3/1RHT",Blue Black #8D,H&F,52''--53'',,# -(16-20)%,10.00 oz,,25/08/2025,606,2508755,120Y,"C:55''
F:55.8''",48,15.0cm,9.0cm,56,8,9.5cm,"C:52.7''
F:53.5''",3.00%,-1.50%,-18.90%,-2.20%,42.7'',56,Singeing ?Dryer(5box 60°C)?Sanforized,
X25245,RS120-09R5(COPY),Regular Finish,"4464x37
7siro slub 7050(Nishat) X 9oe(Badsha)2:8 X 7oe(Envoy), 2/1 RHT",Blue Black#8D,MKT,62''--63'',,# -(3--4)%,12.00 oz,,20/08/2025,Issue date,2507658,,,,,,,0,,,,,,,,,Singeing ?Dryer(5box 60°C)?Sanforized,
X24187,SR085-01R1,Regular Finish,"4464x42
10siro(Badsha) X 12oe(Physical BCI), 3/1RHT",Natural#1,Windy Group,63''--64'',,#+/-(3--4)%,8.60 oz,,25/08/2025,505,2508734,100Y,"C:63.5''
F:64.2''",42,16.0cm,13.0cm,50,8,16.0cm,"C:63.5''
F:64''",2.43%,-0.70%,-0.47%,0.00%,63.2'',50,Singeing ? Dryer(1box dryer(old))?Sanforized,
X22175-2,,Regular Finish,"4216x40
10ring(Nishat)X10oe(Bashat)+10ring(Nishat), 1:1, 3/1RHT",Dark Indigo#6,SF Denim / C&A,60''--61'',,# +/-(3--4)%,9.20 oz,,25/08/2025,211,2508754,106Y,"C:59.7''
F:60.5''",40,16.0cm,12.0cm,47,7,13.5cm,"C:60''
F:60.7''",0.55%,1.84%,-0.83%,0.00%,59.5'',47,Singeing?Dryer(5box 60°C)?Sanforized,
X25250,RNPS100-29R8D,Regular Finish,"4273x55
12ring(Nihsat)X16-70D TR/Raw changzhou, 3/1RHT",Blue Black#8D,H&F / Philhobar,47''--48'',,(13--17)%,10.00 oz,,30/08/2025,122,25087,20Y,"C:50.5''
F:51.5''",55,14.0cm,11.5cm,64,9,7.5cm,"C:47''
F:47.5''",-6.25%,-5.16%,-20.00%,0.00%,37.6'',64,"Singeing?Dryer(5box 60°C)?Sanforized
Regular Finish 20y & Heat Setting(Rest Qunt.)",
X25241,ST095-03R5(copy),Regular Finish,"4752x38
10oe Indigo:8,White:4(Badsha, BCI) X 10ring(BCI, Nishat), 2/1RHT",Indigo#5,Sterling Zara,64''--65'',,,9.30 oz,,18/08/2025,508,2508749,100Y,"C:65''
F:65.3''",38,14.0cm,12.0cm,45,7,11.5cm,"C:65.2''
F:65.8''",-0.56%,-1.55%,-1.53%,0.00%,64.2'',45,Singeing?Dryer(5box 60°C)?Sanforized,
X25251,,Regular Finish,"4752x42
12siro slub(7053) Nishat  + 12rn slub(yt-204)Nishat X 10rn(Badsha), 3/1RHT",Indigo#5,Echotex-Sainbury,62''--63'',,#+/-(3--4)%,8.75 oz,,28/08/2025,122,2508769,60Y,"C:62.3''
F:63''",42,17.0cm,13.0cm,49,7,10.5cm,"C:63''
F:63.8''",0.20%,-2.00%,-0.40%,-1.00%,62.7'',49,Singeing?Dryer(5box 60°c)?Sanforized,
X25244-1,RN065-04R9S(new),Regular Finish,"4838x49
16rsl(yt-161)Nishat + 16rn(Nishat) 3:7 X 16ring(Nishat), 2/1RHT",Black#9S,Tribury/Michael Kors,57''--58'',,(3--4)%,6.70 oz,,20/08/2025,Issue date,,,,,,,,0,,,,,,,,,,
X25244-2,RN065-04R9S(new),Regular Finish,"4838x49
16rsl(yt-161)Nishat + 16rn(Nishat) 3:7 X 16ring(Nishat)+16oe(Ginni) , 2/1RHT",Black#9S,Tribury/ Michael Kors,57''--58'',,(3--4)%,7.70 oz,,21/08/2025,Issue date,,,,,,,,0,,,,,,,,,,
X25105,RNS125-03R5,Regular Finish,"3888x46
7ring X 8-40D(Nishat), 3/1 RHT",Indigo#5,Natural Indigo,60''--61'',,#  -(10-14)%,12.50 oz,,22/08/2025,203,2508739,100Y,"C:61.7''
F:62.7''",46,16.5cm,13.5cm,51,5,11.5cm,"C:61''
F:62''",-2.70%,0.60%,-12.70%,-4.10%,53.2'',53,Singeing?Dryer(5box 60°C)?Sanforized,
X23045-2,,Regular Finish,"4752x50
10rsl(yt-199)Nishat + 10rsl(yt-233)(Nishat) 1:1 X 16-40D(Nishat)+16-70D(Nishat) 2:1, 3/1RHT",Dark Indigo#6,MKT,52''--53'',,# -(3--7)%,9.80 oz,,30/08/2025,Issue date,,,,,,,,0,,,,,,,,,Singeing + Depending on R&D department,
X24146-2,,Regular Finish,"5022x42
12rn(Nishat)X 12oe(BCI, Badsha)+12rn(Badsha) 1:1 , 2/1RHT",Indigo#5,MKT/ High low effectconcept,63''-64'',,# +/-(3--4)%,8.30 oz,,25/08/2025,321,2509860,130Y,"C:64.8''
F:65.5''",42,10.5cm,7.0cm,50,8,8.5cm,"C :65.5''
F:66''",2.90%,1.10%,-0.40%,2.00%,65.2'',49,Singeing?Dryer(5box 60°C)?Sanforized,
X1511243,PR120-02R5,Regular Finish,"4200X43
7OE(Badsha)x10oe(Badsha), 3/1RHT",Indigo#5,MKT,61''--62'',,# +/-(3--4)%,12.00 oz,,01/09/2025,206,2508770,150Y,"C:60.7''
F:61.5''",43,19.0cm,16.0cm,51,8,16.5cm,"C:61''
F:61.8''",1.80%,0.00%,-2.70%,0.00%,59.3'',51,Singeing?Dryer(5box 60°C)?Sanforized,
X25256,,Regular Finish,"4896x45
10Tencel(Nishat, Lenzin)X10Tencel(Nishat, Lenzing), 3/1RHT",Dark Indigo#6,MKT/ 100% Tencel,61''--62'',,# -(3--4)%,10.3 - 10.5 oz,,04/09/2025,204,2509793,67Y,"C:64.5''
F:65.3''",45,17.0cm,10.5cm,53,8,9.5cm,"C:63.8''
F:64.7''",0.90%,-1.80%,-4.07%,-1.20%,61.2'',52,Singeing?Dryer(5box 60°C)?Sanforized,
X25257,PR125-01L5(copy of),Regular Finish,"4495X38
7oe(Badsha)X8oe(Badsha), 3/1 LHT",Indigo#5,H&F,64''--65'',,# -(3--4)%,12.30 oz,,02/09/2025,123,2508770,80Y,"C:64''
F:65''",38,18.5cm,15.5cm,45,7,15.5cm,"C:64''
F:65''",0.56%,-2.55%,-2.30%,0.00%,62.5'',45,Singeing?Dryer(5box 60°C)?Sanforized,
X25258,RNPS100-29R8D,Regular Finish,"4273X55
12rn(Nishat) X 16-70D(T/Raw)Changzhou ",Blue Black#8D,H&F,52''(cutable),,,,,31/08/2025,Issue date,,,,,,,,0,,,,,,,,,,
X25227,B.Grade ,1box 50°C,,,,,,,,,27/08/2025,305,2508740,100Y,"C:61.5''
F:62.5''",49,14.5cm,11.0cm,57,8,13.0cm,"C:60.7''
F:61.5''",1.27%,2.27%,-3.70%,0.00%,58.4'',57,Singeing?Dryer( 1box 50°C)?Sanforized,
X25259,PR105-08R5(NEW),Regular Process,"4464X43
9oe(Indigo:24,White:24)Badsha X 9oe(Badsha, BCI)+9rn(Nihsat, Physical BCI), 3/1RHT(Stripe)",Indigo#5,Windy / Primark,63''--64'',,# +/-(3--4)%,10.50 oz,,04/09/2025,606,2508791,104Y,"C:64''
F:65''",43,18.0cm,13.5cm,50,7,14.0cm,"C:63.8''
F:64.7''",-1.70%,1.40%,-2.00%,-1.40%,62.5'',50,Singeing?Dryer(5box 60°C)?Sanforized,
X24203,,,"3780X35
7siro Low TM 3.8(Nishat)X 6tencel(Envoy), 3/1RHT",Natural#1,Vouge Sourcing,64''--65'',,# +/-(3--4)%,11.50 oz,,10/09/2025,610,2509809,50Y,"C:66.5''
F:67.5''",35,15.0cm,12.5cm,41,6,15.0cm,"C:65.1''
F:66.2''",4.00%,0.85%,-2.30%,0.00%,63.6'',41,"Singeing?Dryer(1box , old dryer)?Sanforized",
X25262,"RN070-03R6
Recheck",Regular Finish,"5480X55
16ring(Nishat)X16ring(Nishat), 3/1RHT",Black #9L,SF Denim / Top Ten,59''--60'',,#-(3--4)%,7.20 oz,,09/09/2025,303,2509802,80Y,"C:60.7''
F:61.2''",55,16.0cm,12.5cm,62,7,13.0cm,"C:61''
F:61.8''",2.12%,0.00%,-0.30%,0.00%,60.8'',62,Singeing?Dryer(5box 60°C)?Sanforized,
X25261,,Regular Finish,"4968X52
10rls(yt-200)Nishat+10oe(Badsha) 1:9 X 12-40D N.S(Nishat), 3/1RHT",Blue Black #8D,Mr.Masud Karim,60''--61'',,,10.50 oz,,04/09/2025,108,2501041,60Y,"C:62.5''
F:63.5''",52,14.0cm,11.5cm,60,8,11.5cm,"C:61.5''
F:62.5''",-0.40%,2.90%,-18.60%,0.00%,50.0'',60,Singeing?Dryer(1Box 85°C)?Sanforized,
X25264,PR105-08R5(NEW),Regular Finish,"4464X43
9OE(multi strip)X9oe(Nishat)+9rn(Nishat),1:1, 3/1RHT stripe",Indigo#5,STR,63''--64'',,#+/-(3--4)%,10.50 oz,,10/09/2025,606,2509791,150Y,"C:63.3''
F:64.2''",43,15.0cm,13.0cm,50,7,13.5cm,"C:64''
F:64.8''",1.01%,0.57%,-1.56%,-1.80%,63.0'',50,Singeing?Dryer(5box 60°C)?Sanforized,
X25266,,Regular Finish,"4176X42
7oe Low TM(Salek)X6oe(Badsha), 3/1RHT",Black(#9S),Berska,63''--64'',,,13.75 oz,,09/09/2025,220,2509803,88Y,"C:65.4''
F:66.2''",42,16.0cm,11.5cm,51,9,12.0cm,"C:65.6''
F:66.6''",0.27%,0.56%,-2.89%,3.80%,63.7'',49,Singeing?Druyer(5box 60°C)?Sanforized,
X25265,,Regular Finish,"3906X42
7oeLow TM(Salex)X6oe(Badsha), 3/1RHT",Indigo#5,Noize Same,62''--63'',,,13.40 oz,,09/09/2025,105,2509804,120Y,"C:64.7''
F:65.4''",42,16.5cm,12.5cm,50,8,11.5cm,"C:64.7''
F:65.7''",0.42%,-1.26%,-1.85%,2.20%,63.5'',49,Singeing?Dryer(5box 60°C)?Sanforized,
X25267,,,"3752X47
7oe Low TM(Salek) X 10-70D(Nishat, BCI), 3/1RHT",Dark Indigo#6,Defacto,57'',,,12.00 oz,,07/09/2025,610,2507645,30Y,"C:57.2''
F:58.2''",47,12.0cm,10.0cm,56,9,10.0cm,"C:56.5''
F:57''",-0.91%,0.00%,-16.40%,2.20%,47.2'',55,Singeing?Dryer(5box 60°C)?Sanforized,
X25267,,Rest Quantity(regular),"3752X47
7oe Low TM(Salek) X 10-70D(Nishat, BCI), 3/1RHT",Dark Indigo#7,Defacto,57'',,,,,15/09/2025,610,2507646,50Y,"C:58.8''
F:60''",47,13.0cm,8.5cm,54,7,10.0cm,"C:56.8''
F:57.2''",-1.85%,3.40%,-17.60%,-1.00%,46.8'',55,Singeing?Dryer(5box 60°C)?Sanforized,
X24042-1,RNPS100-33L9S,Regular finish,"4752X54
10rsl(YT-233)Nishat X 16-40D T/Raw Xuzhou, Dobby LHT",Black #9S,Just James,58''--59'',,#-((11-15)%,10.00 oz,,14/09/2025,123,2509816,100Y,"C:62.7''
F:63.7''",54,0.0cm,3.0cm,61,7,6.5cm,"C:60''
F:61''",-0.60%,7.50%,-11.60%,-2.20%,53.0'',61,Singeing?Dryer(5box 60°C)?Sanforized,
X25271,,Regular finish,"4176X40
8ring(Nishat) X 8oe(BCI, Badsha) + 10-40D(Nishat, BCI)1:1, 3/1RHT",Indigo#05,Trim Wear,,,,,,09/09/2025,516,2505444,50Y,"C:62.8''
F:63.8''",40,16.0cm,12.5cm,47,7,12.5cm,"C:62''
F:63''",-0.74%,0.74%,-11.29%,0.00%,55.0'',47,Singeing?Dryer(5box 60°C)?Sanforized,
X24229,,RFD+Regular finish,"4692X44
12oeX12oe(Badsha, BCI), 3/1RHT",RFD#11,Encuentro Moda,60''--61'',,#+/-(3--4)%,7.50 oz,,08/09/2025,105,2508688,100Y,"C:60.7''
F:61.5''",44,9.5cm,9.5cm,49,5,11.5cm,"C:60.3''
F:61.3''",-3.50%,1.00%,-0.33%,-3.00%,60.5'',50,RFD?Regular Finish,
X25273,RNPS075-09R5,,"5950x60
20ring(Nishat)+16rsl(yt-161)Nishat+16rsl(yt-165)Nishat(6:2:2)X20-40D T/Raw(Recycle)Xuzhou, 3/1RHT",Indigo#5,Al-Islam Textile/C&A,,,,7.30 oz,,09/09/2025,Issue date,,,,,,,,0,,,,,,,,,,
X140124,RES095-07R6,Regular Finish,"4692X50
7(Badsha)+10oe(Badsha)3:7 X 16-40D N.S(BCI, Spandex, Nishat), 3/1RHT",Dark Indigo#6,Mardy Jeans,57''--58'',,#-(12--16)%,9.50 oz,,15/09/2025,310,2509824,50Y,"C:58''
F:59''",50,13.0cm,11.0cm,58,8,12.0cm,"C:56.8''
F:57.8''",1.09%,1.09%,-17.70%,-1.80%,46.7'',59,Singeing?Dryer(5box 85°C)?Sanforized,
X140124,RES095-07R6,Regular Finish,"4692X50
7(Badsha)+10oe(Badsha)3:7 X 16-40D N.S(BCI, Spandex, Nishat), 3/1RHT",Dark Indigo#7,Mardy Jeans,57''--58'',,#-(12--16)%,10.50 oz,,16/09/2025,310,2509824,Rest.Qunt.,"C:57.8''
F:58.7''",50,12.5cm,10.0cm,57,7,11.5cm,"C:57''
F:57.8''",5.16%,-0.78%,18.20%,-2.90%,46.6'',59,Singeing?Dryer(5box 85°C)?Sanforized,
